size,bedrooms,price
2104,3,399900
1600,3,329900
2400,3,369000
1416,2,232000
3000,4,539900
2104,3,399900
1600,3,329900
2400,3,369000
1416,2,232000
3000,4,539900
1980,4,299900
1534,3,314900
1427,3,198999
1380,3,212000
1494,3,242500
1940,4,239999
2000,4,347000
1890,3,329999
1390,2,199000
1600,3,249999
1650,3,250000
2300,4,399000
1984,3,299999
1500,3,259900
1900,4,325000
1800,3,320000
2100,4,450000
1700,3,300000
2500,4,520000
3000,5,620000
1500,3,270000
1400,2,220000
2800,4,510000
2200,3,410000
2400,4,480000
2000,3,350000
2600,4,530000
2300,4,470000
1700,3,310000
3000,5,600000
2400,4,490000
1800,3,330000
1900,3,340000
1600,2,270000
2200,4,450000
2104,3,399900
1600,3,329900
2400,3,369000
1416,2,232000
3000,4,539900
1980,4,299900
1534,3,314900
1427,3,198999
1380,3,212000
1494,3,242500
1940,4,239999
2000,4,347000
1890,3,329999
1390,2,199000
1600,3,249999
1650,3,250000
2300,4,399000
1984,3,299999
1500,3,259900
1900,4,325000
1200,2,199900
1600,3,319000
2400,4,479000
2600,4,499900
2200,3,399900
2800,4,519000
3000,5,599000
3200,5,619900
1500,3,249900
1400,3,229900
2000,4,349900
1800,3,339000
2500,4,479000
2700,5,539900
3500,5,649000
1300,3,214900
2100,4,409000
1900,4,369900
1700,3,319900
2900,4,559000
2500,4,499000
2300,4,469900
2600,5,539900
1500,3,259000
2400,4,489000
2800,4,519900
1700,3,309000
3000,5,599000
3100,4,609000
3300,5,629000
2100,4,419000
1600,3,319900
2400,4,479900
1200,2,229000
1800,3,339900
2000,4,359000
2500,4,479900
2700,4,509900
3200,5,619900
1500,3,259900
1400,3,239000
2200,4,429900
1600,3,319900
2400,4,479900
2600,5,539000
2800,4,519000
3500,5,649900
1500,3,269900
2300,4,469900
2100,4,409900
1700,3,319000
2900,4,549900
2600,5,539900
2400,4,489900
2000,4,359900
1200,2,219000
1800,3,329900
1600,3,319900
2500,4,479900
2300,4,469900
1500,3,269900
1700,3,319900
2100,4,419900
1400,3,239000
2200,4,429900
2500,4,479900
1800,3,339900
2700,4,509900
1500,3,269900
1300,3,224900
1600,3,319000
1400,3,239000
2300,4,469900
2800,4,519900
3200,5,619000
2500,4,479900
2100,4,409900
2000,4,359900
1600,3,319000
2400,4,489000
3000,5,599900
1800,3,339000
2600,4,509900
1700,3,319000
1500,3,269900
2100,4,409900
2200,4,429900
2900,5,549000
2500,4,479900
2400,4,489900
2700,4,509900
3000,5,599900
3100,4,609000
3200,5,619000
1400,3,239000
2300,4,469900
1500,3,259900
1600,3,319000
1400,2,229000
2500,4,479900
2800,4,519900
2900,5,549000
1500,3,269900
2000,4,359900
2300,4,469000
2100,4,409900
2700,4,509900
3200,5,619000
3000,5,599900
2800,4,519900
2400,4,479900
1200,2,229900
1800,3,339000
1300,3,224000
2600,5,539900
2900,4,549900
1700,3,319900
3100,4,609000
1500,3,269000
2500,4,479900
2000,4,359000
1800,3,339900
1200,2,219000
2200,4,429900
2400,4,489900
2600,5,539000
2700,4,509900
3200,5,619900
3000,5,599900
2800,4,519000
1900,3,359900
1300,3,224000
1400,3,239000
1500,3,259900
2100,4,409900
2500,4,479900
2600,5,539000
2700,4,509900
2900,4,549900
3000,5,599000
2400,4,479900
1200,2,229000
1800,3,339000
2000,4,359000
1500,3,269000
2600,4,509900
2300,4,469900
1700,3,319000
2100,4,409900
1500,3,269000
1400,3,239000
2500,4,479900
3200,5,619900
2800,4,519900
2000,4,359900
1900,3,359000
2600,5,539900
1800,3,339900
1400,3,239000
1500,3,259000
2100,4,409000
1600,3,319000
